Customer,Date,Rating,Comments,Outlet Name
Suraj S,08-Feb-2026,5,Excellent,Coffee Island Phoenix Market City - Mumbai
Dipali Moitra,23-Jan-2026,5,Coffee Island = comfort in a cup 🤍 Highly recommend,Coffee Island Beyond GK II
Ashish,20-Jan-2026,5,Awesome coffee and nice ambience.,Coffee Island AIPL
Pavan N Hurkat,29-Jan-2026,5,"Great place to be in, good food and drinks. Yuvraj made the experience amazing.",Coffee Island - Amanora Mall
Joslyn Braganza,14-Jan-2026,1,"the staff is lethargic, on the phone all the time...the food is bad, the hummus was watery....only coffee is good 👍",Coffee Island Eros Churchgate - Mumbai
ARHAM JAIN,27-Dec-2025,5,aashiq ahmed provided a great service,Coffee Island HQ-27
Shaurya,07-Feb-2026,5,Anushaya had given a great service and the drinks are amazing,Coffee Island Eros Churchgate - Mumbai
Eden Dcruz,28-Dec-2025,5,New coffee place at phoenix market city&hellip;&hellip; very friendly staff and great service. Kind enough to take special requests too.,Coffee Island Phoenix Market City - Mumbai
Ajita Banerjee,14-Jan-2026,5,Udit sir was great,Coffee Island Beyond GK II
Aslam Shaikh,21-Jan-2026,5,Delicious food,Coffee Island Eros Churchgate - Mumbai
Aslam Shaikh,20-Jan-2026,5,Delicious food,Coffee Island Eros Churchgate - Mumbai
Riya Jain,04-Feb-2026,5,"RITIKA DID A GREAT JOB 
SHE GOT ME ONE OF THE BEST CORTADO EVER 
WOULD DEFINITELY COME AGAIN",Coffee Island Eros Churchgate - Mumbai
Samarth Arora,02-Feb-2026,5,Good,Coffee Island NSP - New Delhi
Snehal  Choudhary,24-Jan-2026,1,They serve half cup coffee and that too tasteless ..not worth the price,Coffee Island HQ-27
Vishal Rai,15-Jan-2026,5,"Loved the cozy atmosphere and calm music. Coffee was rich and perfectly brewed, and the food was fresh and delicious. Staff was polite and attentive
special thanks to faizal.
Definitely coming back ✌️",Coffee Island Phoenix Market City - Mumbai
Brijesh Mudgal,19-Jan-2026,5,Nice coffee,Coffee Island HQ-27
Irfan Khan,14-Jan-2026,5,amazing service...visit again,Coffee Island Eros Churchgate - Mumbai
Sh  Sharma IAS,26-Jan-2026,5,"Great coffee, great service 
Kudos to the entire staff",Coffee Island Beyond GK II
Rohit Chauhan,15-Jan-2026,5,"A great spot to relax and eat. It's the ideal place to spend some quiet time or catch up with friends bcz of its warm and inviting atmosphere. The service was seamless, and the staff is courteous and attentive. thanks to Mr Nileshwar.",Coffee Island Eros Churchgate - Mumbai
Kanikka Mehta,27-Dec-2025,5,Very good experience and great coffee.. we come here very often. The staff (esply Ashiq and Subhash) are very friendly and provide best of the experience,Coffee Island HQ-27
Aditya Nath Roy,24-Jan-2026,5,The pistachio crossaint is must try,Coffee Island - Amanora Mall
Sheefa,12-Feb-2026,5,Amazing food and excellent service,Coffee Island Eros Churchgate - Mumbai
Geetika Kumar,24-Jan-2026,5,Great experience with Himanshu - Flat white - global blend &amp; croissant is a must try. Keep it up !,Coffee Island AIPL
User,27-Dec-2025,5,"Great Cafe service and Service was quick. once I placed the order by the Time i sit I got my food and Coffee,. 
I loved thier Siracha wrap and Dubai chocolate.my son loved thier pista cappucin. Visit again with my kids. Staff is very welcoming.",Coffee Island Phoenix Market City - Mumbai
Prabhjot Kaur,01-Feb-2026,5,Good Coffee and food,Coffee Island AIPL
Roomi Madon,15-Jan-2026,1,horrible quantity for the money taken,Coffee Island Eros Churchgate - Mumbai
Rewa,15-Jan-2026,5,Everything was really good,"Coffee Island, NIBM Road"
Mariyam Shaikh,21-Jan-2026,5,very nice  coffee and foods😍😋,Coffee Island Eros Churchgate - Mumbai
