Generated On: 2026-02-05 01:50:00 pm
*All the values shown here are in INR,

Outlet Name,Cluster,Format,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
Coffee Island Phoenix Market City - Mumbai,Coffee Island Phoenix Market City - Mumbai,CAFE,2026-02-04,20,DINE IN,1026.20,135.00,891.20,0.00,44.56,935.76,4,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,0,TAKEAWAY,1750.00,0.00,1750.00,0.00,87.50,1837.50,2,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,0,DINE IN,550.00,0.00,550.00,0.00,27.50,577.50,3,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,1,DINE IN,515.00,0.00,515.00,0.00,25.75,540.75,1,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,1,TAKEAWAY,290.00,0.00,290.00,0.00,14.50,304.50,1,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,2,TAKEAWAY,770.00,0.00,770.00,0.00,38.50,808.50,1,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,3,DINE IN,280.00,0.00,280.00,0.00,14.00,294.00,1,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,4,DINE IN,1330.00,0.00,1330.00,0.00,66.50,1396.50,3,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,6,DINE IN,573.33,0.00,573.33,0.00,28.67,602.00,1,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,10,DELIVERY,624.75,125.00,499.75,40.00,26.99,566.74,2,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,10,DINE IN,0.00,0.00,0.00,0.00,0.00,0.00,2,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,11,DINE IN,1630.00,797.50,832.50,0.00,41.64,874.14,2,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,12,DINE IN,1079.00,146.00,933.00,0.00,46.65,979.65,3,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,13,DINE IN,2400.00,23.00,2377.00,0.00,118.85,2495.85,3,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,13,DELIVERY,530.00,124.99,405.01,20.00,20.25,445.26,1,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,14,DINE IN,950.00,0.00,950.00,0.00,47.50,997.50,2,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,14,DELIVERY,560.00,125.00,435.00,20.00,21.75,476.75,1,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,15,DINE IN,575.00,0.00,575.00,0.00,28.75,603.75,2,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,15,DELIVERY,580.00,200.00,380.00,20.00,19.00,419.00,1,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,16,DINE IN,6823.00,130.00,6693.00,0.00,334.66,7027.66,11,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,16,DELIVERY,310.00,155.00,155.00,20.00,8.75,183.75,1,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,17,DELIVERY,1070.00,516.00,554.00,40.00,28.70,622.70,2,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,18,DINE IN,1238.10,76.00,1162.10,0.00,58.11,1220.21,3,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,19,DINE IN,460.00,386.00,74.00,0.00,3.70,77.70,1,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,19,TAKEAWAY,230.00,0.00,230.00,0.00,11.50,241.50,1,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,21,DINE IN,1210.00,0.00,1210.00,0.00,60.50,1270.50,2,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,23,TAKEAWAY,1160.00,0.00,1160.00,0.00,58.00,1218.00,1,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-04,23,DINE IN,185.71,0.00,185.71,0.00,9.29,195.00,1,

