Recipe Name,Recipe Qty,Recipe Unit,Item Name,Item Qty,Item Unit,Item Tab Type,Virtual Item Name
,,,Beans - Volcano Blend,18,GM,Base Recipe
,,,Milk - Regular,170,GM,Base Recipe
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Sugar Sachets (White),2,PCS,Base Recipe
,,,Disposable - Straw - 08Mm,1,PCS,Base Recipe
Iced Americano(emp),1,PCS,,,
,,,Beans - Master Blend,18,GM,Base Recipe
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Sugar Sachets (White),1,PCS,Base Recipe
,,,Disposable - Straw - 08Mm,1,PCS,Base Recipe
Gelato Affagato (emp),1,PCS,,,
,,,Beans - Volcano Blend,18,GM,Base Recipe
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Gelato - Vanilla,60,GM,Base Recipe
Fried Chicken Flaky Burger,1,PCS,,,
,,,Fried Chicken Flaky Burger,1,PCS,Base Recipe
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Ketchup,1,PCS,Base Recipe
,,,Disposable - Square Box,1,PCS,Takeout Add Ons
,,,Disposable - Cutlery Sleeve,1,PCS,Takeout Add Ons
,,,Disposable - Wooden Spoon,1,PCS,Takeout Add Ons
,,,Disposable - Wooden Fork,1,PCS,Takeout Add Ons
,,,Disposable - Square Box,1,PCS,Delivery Add Ons
,,,Disposable - Cutlery Sleeve,1,PCS,Delivery Add Ons
,,,Disposable - Wooden Spoon,1,PCS,Delivery Add Ons
,,,Disposable - Wooden Fork,1,PCS,Delivery Add Ons
Islander Cold Coffee,1,PCS.,,,
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Ice Cream Vanilla - Amul,180,GM,Base Recipe
,,,Milk - Regular,60,GM,Base Recipe
,,,Disposable - Straw - 08Mm,1,PCS,Base Recipe
,,,Disposable - Lid (Cold) 12Oz - Dome,1,PCS,Takeout Add Ons
,,,Disposable - Paper Cup 12Oz,1,PCS,Takeout Add Ons
,,,Disposable - Cutlery Sleeve,1,PCS,Takeout Add Ons
,,,Disposable - Cup Holder,1,PCS,Takeout Add Ons
,,,Disposable - Lid (Cold) 12Oz - Dome,1,PCS,Delivery Add Ons
,,,Disposable - Paper Cup 12Oz,1,PCS,Delivery Add Ons
,,,Disposable - Cutlery Sleeve,1,PCS,Delivery Add Ons
,,,Disposable - Sealing Foil,1,PCS,Delivery Add Ons
,,,Disposable - Cup Holder,1,PCS,Delivery Add Ons
Island Pour Over,1,PCS.,,,
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Sugar Sachets (White),2,PCS,Base Recipe
,,,Disposable - Straw - 12Mm,1,PCS,Base Recipe
,,,Hario V 60 Bleached Filter Paper-Size 02- 100Pcs : VCF-02-100W,1,PCS,Base Recipe
,,,Disposable - Cup Holder,1,PCS,Takeout Add Ons
,,,Disposable - Lid (Hot) 12Oz,1,PCS,Takeout Add Ons
,,,Disposable - Paper Cup 12Oz,1,PCS,Takeout Add Ons
,,,Disposable - Stirrer,1,PCS,Takeout Add Ons
,,,Disposable - Cutlery Sleeve,1,PCS,Takeout Add Ons
,,,Disposable - Cup Holder,1,PCS,Delivery Add Ons
,,,Disposable - Lid (Hot) 12Oz,1,PCS,Delivery Add Ons
,,,Disposable - Paper Cup 12Oz,1,PCS,Delivery Add Ons
,,,Disposable - Sealing Foil,1,PCS,Delivery Add Ons
,,,Disposable - Stirrer,1,PCS,Delivery Add Ons
,,,Disposable - Cutlery Sleeve,1,PCS,Delivery Add Ons
Sriracha Chicken & Avocado Wrap with Iced Latte Signature,1,PCS,,,
,,,Sriracha Chicken & Avocado Wrap,1,PCS,Base Recipe
,,,Ketchup,1,PCS,Base Recipe
,,,Potato Chips,15,GM,Base Recipe
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Beans - Volcano Blend,18,GM,Base Recipe
,,,Milk - Regular,120,GM,Base Recipe
,,,Sugar Sachets (White),2,PCS,Base Recipe
,,,Disposable - Straw - 08Mm,1,PCS,Base Recipe
,,,Disposable - Wooden Spoon,1,PCS,Takeout Add Ons
,,,Disposable - Wooden Fork,1,PCS,Takeout Add Ons
